Playlist_ID,Playlist_Name,User_ID,Track_ID,Track_Name,Year
1,Playlist_1,1,1000,Tim McGraw,2012
1,Playlist_1,1,1001,Picture to Burn,2012
1,Playlist_1,1,1002,Teardrops on My Guitar,2010
1,Playlist_1,1,1003,A Place in This World,2012
1,Playlist_1,1,1004,Cold as You,2011
1,Playlist_1,1,1005,Fearless,2012
1,Playlist_1,1,1006,Fifteen,2012
1,Playlist_1,1,1007,Love Story,2012
1,Playlist_1,1,1008,Hey Stephen,2012
1,Playlist_1,1,1009,White Horse,2012
1,Playlist_1,1,1010,Mine,2010
1,Playlist_1,1,1011,Sparks Fly,2010
1,Playlist_1,1,1012,Back to December,2012
1,Playlist_1,1,1013,Speak Now,2011
1,Playlist_1,1,3031,Fun,2014
1,Playlist_1,1,3032,Time of Our Lives,2016
2,Playlist_2,2,1014,Dear John,2011
2,Playlist_2,2,1015,State of Grace,2012
2,Playlist_2,2,1016,Red,2014
2,Playlist_2,2,1017,Treacherous,2013
2,Playlist_2,2,1018,I Knew You Were Trouble.,2014
2,Playlist_2,2,1019,All Too Well,2013
2,Playlist_2,2,1020,Welcome to New York,2015
2,Playlist_2,2,1021,Blank Space,2014
2,Playlist_2,2,1022,Style,2014
2,Playlist_2,2,1023,Out of the Woods,2014
2,Playlist_2,2,1003,A Place in This World,2010
2,Playlist_2,2,1007,Love Story,2011
2,Playlist_2,2,1013,Speak Now,2010
2,Playlist_2,2,1002,Teardrops on My Guitar,2011
3,Playlist_3,1,2002,Great King Rat,2010
3,Playlist_3,1,2003,My Fairy King,2010
3,Playlist_3,1,2004,Liar,2010
3,Playlist_3,1,2005,Procession,2010
3,Playlist_3,1,2006,Father to Son,2011
3,Playlist_3,1,2007,White Queen (As It Began),2010
3,Playlist_3,1,2008,Some Day One Day,2012
3,Playlist_3,1,2009,The Loser in the End,2010
3,Playlist_3,1,2010,Brighton Rock,2010
3,Playlist_3,1,2011,Killer Queen,2011
3,Playlist_3,1,2012,Tenement Funster,2010
3,Playlist_3,1,1016,Red,2014
3,Playlist_3,1,2014,Lily of the Valley,2012
3,Playlist_3,1,2015,Death on Two Legs (Dedicated to...),2011
4,Playlist_4,1,2020,Tie Your Mother Down,2011
4,Playlist_4,1,2021,You Take My Breath Away,2012
4,Playlist_4,1,2022,Long Away,2010
4,Playlist_4,1,2023,The Millionaire Waltz,2011
4,Playlist_4,1,2024,You and I,2011
4,Playlist_4,1,2025,We Will Rock You,2010
4,Playlist_4,1,2026,We Are the Champions,2012
4,Playlist_4,1,2027,Sheer Heart Attack,2011
4,Playlist_4,1,2028,All Dead All Dead,2010
4,Playlist_4,1,3004,Toma,2010
4,Playlist_4,1,2030,Mustapha,2011
4,Playlist_4,1,2031,Fat Bottomed Girls,2011
4,Playlist_4,1,2032,Bicycle Race,2011
4,Playlist_4,1,2033,Let Me Entertain You,2010
5,Playlist_5,2,2025,We Will Rock You,2011
5,Playlist_5,2,2026,We Are the Champions,2011
5,Playlist_5,2,2004,Liar,2011
5,Playlist_5,2,2005,Procession,2012
5,Playlist_5,2,2011,Killer Queen,2010
5,Playlist_5,2,1001,Picture to Burn,2012
5,Playlist_5,2,1002,Teardrops on My Guitar,2010
5,Playlist_5,2,3026,Don't Stop the Party,2012
5,Playlist_5,2,3002,She's Freaky,2012
5,Playlist_5,2,3003,Shake It Up,2010
5,Playlist_5,2,3004,Toma,2010
5,Playlist_5,2,3005,Intro,2010
5,Playlist_5,2,3006,Miami Shit,2010
5,Playlist_5,2,3007,Come See Me,2011
6,Playlist_6,2,3024,Back in Time,2013
6,Playlist_6,2,3025,Global Warming (Intro),2014
6,Playlist_6,2,3026,Don't Stop the Party,2012
6,Playlist_6,2,3027,Feel This Moment,2013
6,Playlist_6,2,3028,Back in Time,2014
6,Playlist_6,2,3029,Hope We Meet Again,2013
6,Playlist_6,2,3030,Ah Leke,2014
6,Playlist_6,2,3031,Fun,2016
6,Playlist_6,2,3032,Time of Our Lives,2015
6,Playlist_6,2,3033,Celebrate,2016
6,Playlist_6,2,3034,Sexy Beaches,2014
6,Playlist_6,2,3035,We Are Strong,2019
6,Playlist_6,2,3036,Options,2019
6,Playlist_6,2,3037,Messin' Around,2018
6,Playlist_6,2,1009,White Horse,2010
6,Playlist_6,2,1010,Mine,2012
6,Playlist_6,2,2022,Long Away,2010
6,Playlist_6,2,2023,The Millionaire Waltz,2010
7,Playlist_7,3,2032,Bicycle Race,2011
7,Playlist_7,3,2033,Let Me Entertain You,2010
7,Playlist_7,3,2034,Dreamer's Ball,2011
7,Playlist_7,3,2035,Play the Game,2011
7,Playlist_7,3,2036,Dragon Attack,2012
7,Playlist_7,3,2037,Another One Bites the Dust,2010
7,Playlist_7,3,1024,All You Had to Do Was Stay,2015
7,Playlist_7,3,1025,...Ready for It?,2019
7,Playlist_7,3,3000,305 Anthem,2010
7,Playlist_7,3,3001,Culo,2010
7,Playlist_7,3,2004,Liar,2012
7,Playlist_7,3,2005,Procession,2010
7,Playlist_7,3,2029,Spread Your Wings,2011
7,Playlist_7,3,2030,Mustapha,2011
7,Playlist_7,3,2031,Fat Bottomed Girls,2012
7,Playlist_7,3,2032,Bicycle Race,2011
7,Playlist_7,3,3008,Jealouso,2011
7,Playlist_7,3,3009,Fuego,2010
7,Playlist_7,3,3000,305 Anthem,2010
7,Playlist_7,3,3001,Culo,2011
8,Playlist_8,3,3020,Mr. Worldwide (Intro),2011
8,Playlist_8,3,3021,Hey Baby (Drop It to the Floor),2011
8,Playlist_8,3,3030,Ah Leke,2015
8,Playlist_8,3,3031,Fun,2015
8,Playlist_8,3,2033,Let Me Entertain You,2012
8,Playlist_8,3,2034,Dreamer's Ball,2011
8,Playlist_8,3,2011,Killer Queen,2012
8,Playlist_8,3,2012,Tenement Funster,2010
8,Playlist_8,3,1042,gold rush,2020
8,Playlist_8,3,1043,'tis the damn season,2022
8,Playlist_8,3,1030,I Forgot That You Existed,2019
8,Playlist_8,3,1031,Cruel Summer,2020
8,Playlist_8,3,2014,Lily of the Valley,2010
8,Playlist_8,3,2015,Death on Two Legs (Dedicated to...),2010
8,Playlist_8,3,2029,Spread Your Wings,2012
8,Playlist_8,3,3032,Time of Our Lives,2015
8,Playlist_8,3,3033,Celebrate,2015
8,Playlist_8,3,3034,Sexy Beaches,2016
